DD | urscaredofme: Stupid clanker let me send my gif
IAS | Furry: I was softbanned for like screaming in a vc that had the game lead talking in it... i screames a holy bunch of fuck things.
O | Light: “Lake America”
O | Light: Lake USA
DD | urscaredofme: Yes bro
IAS | Furry: Fr😭✌️
IAS | Furry: Gng
O | Light: What’s next American fries
O | Light: Tf
IAS | Furry: https://klipy.com/gifs/captain-america-mJy
IAS | Furry: i will come for trump then
IAS | Furry: I'll make sure he'll lose weight.
O | Light: American syrup
IAS | Furry: LOL
DD | urscaredofme: Strip gotta be top ten shittiest things ever
DD | urscaredofme: That’s straight ass
DD | urscaredofme: Syrup
O | Light: We didn’t ask
DD | urscaredofme: https://klipy.com/gifs/i-owe-you-an-apology-jamie-kellett
IAS | Furry: HOLY DISRESPECT
IAS | Furry: yes you di
IAS | Furry: Do*
O | Light: Maple syrup is good if you eat pancakes with it
IAS | Furry: <@463071037953933323> ayo?
IAS | Furry: Diddy?
DD | urscaredofme: Sus bro
IAS | Furry: Agreed
DD | urscaredofme: Nah that’s hella doddy
O | Light: ?
IAS | Furry: gng
IAS | Furry: "Dd" is diddies nickname😭✌️
IAS | Furry: Hang on
O | Light: It’s actually Sean comes diddy
DD | urscaredofme: Haha I’m not dd
O | Light: Get it right
IAS | Furry: 💀
IAS | Furry: Meh
IAS | Furry: Oki
IAS | Furry: Enough of sad music
IAS | Furry: Now
DD | urscaredofme: Sean here comes Diddy
IAS | Furry: Trap
IAS | Furry: No, heavy metal
IAS | Furry: gng
DD | urscaredofme: Killed the whole chat
DD | urscaredofme: Ended its life
IAS | Furry: who?
DD | urscaredofme: You asked
DD | urscaredofme: You
DD | urscaredofme: You
IAS | Furry: 💀
IAS | Furry: !mute
IAS | Furry: LOL
DD | urscaredofme: Stupid clanker
IAS | Furry: fr
O | Light: I’m closing this ticket
IAS | Furry: wait
IAS | Furry: !mute <@1396540310217035807> 1m me
IAS | Furry: ..
IAS | Furry: Stupid clanker
DD | urscaredofme: Close it
O | Light: Nvm
O | Light: Have fun
DD | urscaredofme: https://klipy.com/gifs/anger-inside-out-4
O | Light: <@1142852412420395158> view snap
DD | urscaredofme: Peep the snap
IAS | Furry: gng...
IAS | Furry: i find snap a HORRIBLE app
IAS | Furry: holy menu sucks
O | Light: We didn’t ask
DD | urscaredofme: ?afk Shleep.
Dyno: <@1134206183016775680> I set your AFK: Shleep.
O | Light: I got snap+
IAS | Furry: L9L
IAS | Furry: LOL
O | Light: SharePoint
Dyno: `JM| urscaredofme` is AFK: Shleep. - a few seconds ago
O | Light: Shleep
O | Light: Shleep
O | Light: Shleep
O | Light: Shleep
O | Light: Shleep
IAS | Furry: Didnt ask
O | Light: Shleep
O | Light: Shleep
IAS | Furry: Shleep
IAS | Furry: Shleep
IAS | Furry: ShleepShleepShleepShleep
IAS | Furry: Shleep
IAS | Furry: ShleepShleep
IAS | Furry: Shleep
O | Light: Enjoy the timeout
IAS | Furry: NOO
O | Light: Shleep
O | Light: Don’t talk
O | Light: Goodboy
O | Light: <@1396540310217035807> btw
