Miami City Utilities: <@1396540310217035807> <@&1537251419046805584>
IAS | JAYDENOLLET5: H!
IAS | JAYDENOLLET5: Hi!
IAS | JAYDENOLLET5: I had a question for SHR.
O | Light: H!
O | Light: H!
O | Light: H!
IAS | JAYDENOLLET5: Cmon...
IAS | JAYDENOLLET5: When are sessions?
O | Light: What
O | Light: When we get liveries in
O | Light: So Saturday or monday
IAS | JAYDENOLLET5: Ah, oki.
IAS | JAYDENOLLET5: Don't you own Bloom😭✌️
O | Light: Maybe
O | Light: Why
IAS | JAYDENOLLET5: Then get them to do it..
