Miami City Utilities: <@1196903170991992863> <@&1537251419046805584>
JMGMT | Kjj09134: Hello.
O | Light: <@&1537251180789497988> idc which one handles it
HMGMT | byeeee_673: Hello.
HMGMT | byeeee_673: I will be assisting you for your appeal for today's ticket I am Head Management byeeee_673 how may I assist you in your appeal?
HMGMT | byeeee_673: <@1196903170991992863> here?
JMGMT | Kjj09134: Your not a SHR
JMGMT | Kjj09134: U can’t do my ticket
JMGMT | Kjj09134: Light said SHR
JMGMT | Kjj09134: You need to unclaimed the ticket
JMGMT | Kjj09134: So you won’t get in trouble
JMGMT | Kjj09134: U need to unclaimed the ticket
DD | urscaredofme: State your reason on why you should be unsuspended.
JMGMT | Kjj09134: I believe I should be unsuspended because I understand what I did wrong and I take responsibility for my actions I will make sure to follow the rules going forward and avoid making the same mistake again I would appreciate another chance to prove that I can follow the rules and be a positive member of the community
DD | urscaredofme: After some careful consideration, I have decided to downgrade this to a strike, however this does not mean that you shouldn't learn from your mistakes. Use this as a learning opportunity.
JMGMT | Kjj09134: Okay thank you
JMGMT | Kjj09134: I understand
DD | urscaredofme: Is that all?
JMGMT | Kjj09134: I have a question
DD | urscaredofme: Yes?
JMGMT | Kjj09134: I want to ask when people do a fastpass can we as management start ranking?
DD | urscaredofme: Yes, you can, and are expected to.
JMGMT | Kjj09134: Well I have no perms to do that
JMGMT | Kjj09134: I can’t rank people
DD | urscaredofme: You can.
JMGMT | Kjj09134: I can’t
DD | urscaredofme: Weird.
DD | urscaredofme: Can you type in the promotions channel?
JMGMT | Kjj09134: Yes
DD | urscaredofme: Then, I think the problems solved for now.
DD | urscaredofme: I’ll figure it out tomorrow.
JMGMT | Kjj09134: I can give promotion but I can give thanks
JMGMT | Kjj09134: Okay
